model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
,,,,,,,,,,,
2726_test,0.91084,0.84950,0.69292,0.77714,0.94600,0.75300,0.84950,0.79296,0.94600,0.86275,0.84950
2726_train,0.91849,0.86250,0.71945,0.79290,0.95100,0.77400,0.86250,0.80799,0.95100,0.87368,0.86250
,,,,,,,,,,,
662_test,0.91072,0.90500,0.80616,0.86362,0.91400,0.89600,0.90500,0.89784,0.91400,0.90585,0.90500
662_train,0.96909,0.96450,0.92757,0.94482,0.97200,0.95700,0.96450,0.95764,0.97200,0.96476,0.96450
,,,,,,,,,,,
804_test,0.91064,0.91000,0.81636,0.87276,0.91100,0.90900,0.91000,0.90918,0.91100,0.91009,0.91000
804_train,0.96481,0.96450,0.92757,0.94779,0.96500,0.96400,0.96450,0.96404,0.96500,0.96452,0.96450
,,,,,,,,,,,
1502_test,0.91063,0.90300,0.80208,0.86010,0.91500,0.89100,0.90300,0.89355,0.91500,0.90415,0.90300
1502_train,0.93856,0.93450,0.86635,0.90362,0.94100,0.92800,0.93450,0.92892,0.94100,0.93492,0.93450
,,,,,,,,,,,
2036_test,0.91053,0.79800,0.58784,0.71459,0.97500,0.62100,0.79800,0.72009,0.97500,0.82838,0.79800
2036_train,0.93958,0.85750,0.70924,0.77994,0.98900,0.72600,0.85750,0.78306,0.98900,0.87406,0.85750
,,,,,,,,,,,
192_test,0.91046,0.91300,0.82249,0.87844,0.90900,0.91700,0.91300,0.91633,0.90900,0.91265,0.91300
192_train,0.96258,0.96350,0.92553,0.94723,0.96200,0.96500,0.96350,0.96489,0.96200,0.96345,0.96350
,,,,,,,,,,,
1728_test,0.91045,0.90600,0.80820,0.86556,0.91300,0.89900,0.90600,0.90039,0.91300,0.90665,0.90600
1728_train,0.96742,0.96650,0.93165,0.95022,0.96800,0.96500,0.96650,0.96510,0.96800,0.96655,0.96650
,,,,,,,,,,,
200_test,0.91044,0.89550,0.78678,0.84715,0.91900,0.87200,0.89550,0.87775,0.91900,0.89790,0.89550
200_train,0.95867,0.94850,0.89492,0.91898,0.96500,0.93200,0.94850,0.93417,0.96500,0.94934,0.94850
