model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_283,0.83761,0.81700,0.62661,0.75312,0.84800,0.78600,0.8240297284993259,0.81700,0.79849,0.84800,0.82250,0.81700
model_663,0.83750,0.83650,0.66639,0.78114,0.83800,0.83500,0.9647010796084375,0.83650,0.83549,0.83800,0.83674,0.83650
model_601,0.83734,0.84200,0.67762,0.78962,0.83500,0.84900,0.9656805233978336,0.84200,0.84686,0.83500,0.84089,0.84200
model_1747,0.83734,0.84000,0.67354,0.78653,0.83600,0.84400,0.9698968843595516,0.84000,0.84274,0.83600,0.83936,0.84000
model_1287,0.83718,0.69850,0.38482,0.62706,0.90700,0.49000,nan,0.69850,0.64008,0.90700,0.75052,0.69850
model_475,0.83700,0.75950,0.50928,0.68436,0.87600,0.64300,nan,0.75950,0.71046,0.87600,0.78459,0.75950
model_1131,0.83695,0.73950,0.46848,0.66411,0.88600,0.59300,nan,0.73950,0.68523,0.88600,0.77279,0.73950
model_977,0.83681,0.82650,0.64599,0.76665,0.84200,0.81100,0.8265949949141471,0.82650,0.81668,0.84200,0.82915,0.82650
model_1683,0.83638,0.86100,0.71638,0.82124,0.82400,0.89800,0.9696032778508421,0.86100,0.88985,0.82400,0.85566,0.86100
model_1743,0.83617,0.83650,0.66639,0.78160,0.83600,0.83700,0.9695652089658238,0.83650,0.83684,0.83600,0.83642,0.83650
model_1571,0.83583,0.83150,0.65619,0.77423,0.83800,0.82500,0.9680877778160207,0.83150,0.82725,0.83800,0.83259,0.83150
model_1297,0.83560,0.78300,0.55723,0.71066,0.86200,0.70400,0.8983847606269753,0.78300,0.74439,0.86200,0.79889,0.78300
model_925,0.83538,0.74050,0.47052,0.66526,0.88300,0.59800,nan,0.74050,0.68716,0.88300,0.77287,0.74050
model_699,0.83520,0.57050,0.12365,0.53802,0.96800,0.17300,0.831585169583559,0.57050,0.53928,0.96800,0.69267,0.57050
model_1681,0.83485,0.85250,0.69904,0.80746,0.82600,0.87900,0.962604367616558,0.85250,0.87223,0.82600,0.84848,0.85250
model_1243,0.83480,0.79850,0.58886,0.72959,0.85300,0.74400,0.9176438588608977,0.79850,0.76916,0.85300,0.80891,0.79850
model_783,0.83468,0.85200,0.69802,0.80670,0.82600,0.87800,0.9699457077671298,0.85200,0.87131,0.82600,0.84805,0.85200
model_1725,0.83450,0.83950,0.67252,0.78677,0.83200,0.84700,nan,0.83950,0.84467,0.83200,0.83829,0.83950
model_841,0.83433,0.83300,0.65925,0.77695,0.83500,0.83100,0.9678029933218228,0.83300,0.83167,0.83500,0.83333,0.83300
model_1437,0.83392,0.62000,0.22465,0.56877,0.94100,0.29900,0.8104422042767206,0.62000,0.57308,0.94100,0.71234,0.62000
model_1535,0.83389,0.50800,-0.00388,0.50403,0.99700,0.01900,0.8322577012909783,0.50800,0.50404,0.99700,0.66958,0.50800
model_97,0.83375,0.50150,-0.01714,0.50075,1.00000,0.00300,0.8870155263807872,0.50150,0.50075,1.00000,0.66733,0.50150
model_825,0.83367,0.83100,0.65517,0.77419,0.83500,0.82700,nan,0.83100,0.82837,0.83500,0.83167,0.83100
model_1751,0.83367,0.83700,0.66741,0.78322,0.83200,0.84200,0.968145618472499,0.83700,0.84040,0.83200,0.83618,0.83700
model_85,0.83361,0.50100,-0.01816,0.50050,1.00000,0.00200,nan,0.50100,0.50050,1.00000,0.66711,0.50100
model_91,0.83361,0.50100,-0.01816,0.50050,1.00000,0.00200,0.8188133438428243,0.50100,0.50050,1.00000,0.66711,0.50100
model_1531,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.8367927471796671,0.50050,0.50025,1.00000,0.66689,0.50050
model_1017,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.8182754591107368,0.50050,0.50025,1.00000,0.66689,0.50050
model_651,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8191052245312049,0.50000,0.50000,1.00000,0.66667,0.50000
model_657,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8388329923333726,0.50000,0.50000,1.00000,0.66667,0.50000
model_995,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8102720129874444,0.50000,0.50000,1.00000,0.66667,0.50000
model_87,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8399042786109812,0.50000,0.50000,1.00000,0.66667,0.50000
model_119,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8130763411521912,0.50000,0.50000,1.00000,0.66667,0.50000
model_687,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8137115836143494,0.50000,0.50000,1.00000,0.66667,0.50000
model_717,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8115370273590088,0.50000,0.50000,1.00000,0.66667,0.50000
model_1617,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8424113160202861,0.50000,0.50000,1.00000,0.66667,0.50000
model_111,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8160213232040405,0.50000,0.50000,1.00000,0.66667,0.50000
model_933,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8617908105331381,0.50000,0.50000,1.00000,0.66667,0.50000
model_693,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8391804304122925,0.50000,0.50000,1.00000,0.66667,0.50000
model_1691,0.83316,0.85350,0.70108,0.80983,0.82300,0.88400,0.9720403682773531,0.85350,0.87646,0.82300,0.84889,0.85350
model_543,0.83300,0.84900,0.69190,0.80244,0.82500,0.87300,0.9696770359348778,0.84900,0.86660,0.82500,0.84529,0.84900
model_1539,0.83292,0.50050,-0.01918,0.50025,0.99900,0.00200,0.8564937151091002,0.50050,0.50025,0.99900,0.66667,0.50050
model_1251,0.83289,0.60050,0.18486,0.55620,0.94900,0.25200,nan,0.60050,0.55922,0.94900,0.70374,0.60050
model_67,0.83283,0.83450,0.66231,0.77970,0.83200,0.83700,0.9683400076648744,0.83450,0.83618,0.83200,0.83409,0.83450
model_1533,0.83278,0.50000,-0.02020,0.50000,0.99900,0.00100,0.8242244821674419,0.50000,0.50000,0.99900,0.66644,0.50000
model_921,0.83231,0.60250,0.18894,0.55747,0.94700,0.25800,0.8238458096981048,0.60250,0.56069,0.94700,0.70435,0.60250
model_1371,0.83226,0.68250,0.35217,0.61424,0.90700,0.45800,nan,0.68250,0.62595,0.90700,0.74071,0.68250
model_537,0.83212,0.67000,0.32667,0.60445,0.91300,0.42700,nan,0.67000,0.61440,0.91300,0.73451,0.67000
model_1527,0.83208,0.49950,-0.02122,0.49975,0.99800,0.00100,0.826763367652893,0.49950,0.49975,0.99800,0.66600,0.49950
model_629,0.83208,0.50150,-0.01714,0.50075,0.99700,0.00600,0.8458146274089813,0.50150,0.50075,0.99700,0.66667,0.50150
model_985,0.83194,0.49900,-0.02224,0.49950,0.99800,0.00000,0.8374316841363907,0.49900,0.49950,0.99800,0.66578,0.49900
model_1165,0.83183,0.64500,0.27566,0.58598,0.92500,0.36500,0.8068294326464335,0.64500,0.59295,0.92500,0.72266,0.64500
model_789,0.83165,0.85100,0.69598,0.80629,0.82200,0.88000,0.9718349194063723,0.85100,0.87261,0.82200,0.84655,0.85100
model_951,0.83153,0.49950,-0.02122,0.49975,0.99700,0.00200,nan,0.49950,0.49975,0.99700,0.66578,0.49950
model_931,0.83152,0.50350,-0.01306,0.50176,0.99500,0.01200,0.8192809959252675,0.50350,0.50177,0.99500,0.66711,0.50350
model_1031,0.83133,0.83600,0.66537,0.78250,0.82900,0.84300,0.976219228345914,0.83600,0.84077,0.82900,0.83484,0.83600
model_1343,0.83117,0.69900,0.38584,0.62787,0.89700,0.50100,0.8819436513676363,0.69900,0.64255,0.89700,0.74875,0.69900
model_1137,0.83105,0.67250,0.33177,0.60642,0.91000,0.43500,nan,0.67250,0.61695,0.91000,0.73535,0.67250
model_1611,0.83097,0.50150,-0.01714,0.50075,0.99500,0.00800,nan,0.50150,0.50075,0.99500,0.66622,0.50150
model_839,0.83084,0.60150,0.18690,0.55686,0.94500,0.25800,nan,0.60150,0.56017,0.94500,0.70339,0.60150
model_1549,0.83083,0.49900,-0.02224,0.49950,0.99600,0.00200,nan,0.49900,0.49950,0.99600,0.66533,0.49900
model_617,0.83068,0.82000,0.63273,0.75922,0.83600,0.80400,nan,0.82000,0.81008,0.83600,0.82283,0.82000
model_1215,0.83062,0.75950,0.50928,0.68527,0.86600,0.65300,0.9208182056809401,0.75950,0.71393,0.86600,0.78265,0.75950
model_1569,0.83050,0.82950,0.65211,0.77300,0.83100,0.82800,0.972421283702495,0.82950,0.82851,0.83100,0.82976,0.82950
model_1745,0.83050,0.83150,0.65619,0.77597,0.83000,0.83300,0.9713528677474621,0.83150,0.83250,0.83000,0.83125,0.83150
model_917,0.83038,0.61400,0.21241,0.56489,0.93800,0.29000,0.8421309156609433,0.61400,0.56917,0.93800,0.70846,0.61400
model_721,0.83033,0.83100,0.65517,0.77528,0.83000,0.83200,0.9696696428022621,0.83100,0.83166,0.83000,0.83083,0.83100
model_1033,0.83004,0.81200,0.61640,0.74836,0.83900,0.78500,0.8616932342340659,0.81200,0.79602,0.83900,0.81694,0.81200
