model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_545,0.80720,0.82650,0.64599,0.77630,0.79800,0.85500,0.9686707937076864,0.82650,0.84624,0.79800,0.82141,0.82650
model_1367,0.80714,0.76550,0.52153,0.69552,0.82700,0.70400,0.8809072023360573,0.76550,0.73642,0.82700,0.77909,0.76550
model_1639,0.80668,0.80600,0.60416,0.74645,0.80700,0.80500,0.851710675170227,0.80600,0.80539,0.80700,0.80619,0.80600
model_429,0.80662,0.83100,0.65517,0.78356,0.79500,0.86700,0.9685831775646485,0.83100,0.85668,0.79500,0.82469,0.83100
model_19,0.80642,0.65400,0.29402,0.59336,0.87900,0.42900,0.8771726925373078,0.65400,0.60621,0.87900,0.71755,0.65400
model_1333,0.80623,0.79200,0.57560,0.72783,0.81300,0.77100,0.8956261064512614,0.79200,0.78023,0.81300,0.79628,0.79200
model_1271,0.80609,0.82100,0.63477,0.76828,0.79900,0.84300,0.9711322027177484,0.82100,0.83577,0.79900,0.81697,0.82100
model_1357,0.80597,0.78700,0.56539,0.72150,0.81500,0.75900,0.8555666094089484,0.78700,0.77178,0.81500,0.79280,0.78700
model_141,0.80576,0.75900,0.50826,0.68845,0.82800,0.69000,0.8499743675024768,0.75900,0.72759,0.82800,0.77456,0.75900
model_461,0.80568,0.80500,0.60212,0.74534,0.80600,0.80400,0.8800297348122847,0.80500,0.80439,0.80600,0.80519,0.80500
model_1381,0.80550,0.82550,0.64395,0.77534,0.79600,0.85500,0.967852266904676,0.82550,0.84591,0.79600,0.82020,0.82550
model_307,0.80485,0.82350,0.63987,0.77249,0.79600,0.85100,0.9668579511197575,0.82350,0.84233,0.79600,0.81851,0.82350
model_425,0.80478,0.82750,0.64803,0.77871,0.79400,0.86100,0.9691200837551532,0.82750,0.85102,0.79400,0.82152,0.82750
model_551,0.80473,0.82100,0.63477,0.76874,0.79700,0.84500,0.9733696605466615,0.82100,0.83718,0.79700,0.81660,0.82100
model_1055,0.80463,0.84600,0.68578,0.80935,0.78500,0.90700,0.9052522004627791,0.84600,0.89408,0.78500,0.83600,0.84600
model_1307,0.80456,0.73200,0.45317,0.66034,0.83900,0.62500,0.879661678704246,0.73200,0.69110,0.83900,0.75790,0.73200
model_49,0.80453,0.50850,-0.00286,0.50429,0.94500,0.07200,0.8232533102943784,0.50850,0.50454,0.94500,0.65785,0.50850
model_1555,0.80449,0.82450,0.64191,0.77415,0.79500,0.85400,0.8273746243006066,0.82450,0.84485,0.79500,0.81917,0.82450
model_415,0.80446,0.79700,0.58580,0.73481,0.80800,0.78600,nan,0.79700,0.79061,0.80800,0.79921,0.79700
model_301,0.80406,0.82950,0.65211,0.78212,0.79200,0.86700,0.9671881154789792,0.82950,0.85622,0.79200,0.82286,0.82950
model_371,0.80400,0.82300,0.63885,0.77202,0.79500,0.85100,0.9733912835558097,0.82300,0.84216,0.79500,0.81790,0.82300
model_1399,0.80389,0.79100,0.57356,0.72708,0.81000,0.77200,0.8855869666023074,0.79100,0.78035,0.81000,0.79490,0.79100
model_365,0.80377,0.82650,0.64599,0.77751,0.79300,0.86000,0.9669600120523157,0.82650,0.84995,0.79300,0.82049,0.82650
model_1305,0.80362,0.79650,0.58478,0.73435,0.80700,0.78600,0.877430393711313,0.79650,0.79040,0.80700,0.79861,0.79650
model_1327,0.80355,0.81950,0.63171,0.76686,0.79600,0.84300,0.9712494734006051,0.81950,0.83526,0.79600,0.81516,0.81950
model_705,0.80354,0.65900,0.30422,0.59723,0.87200,0.44600,0.8216537819667296,0.65900,0.61150,0.87200,0.71888,0.65900
model_1031,0.80327,0.81650,0.62559,0.76249,0.79700,0.83600,0.9803326411161594,0.81650,0.82934,0.79700,0.81285,0.81650
model_947,0.80260,0.59450,0.17262,0.55279,0.90100,0.28800,0.8430754782907631,0.59450,0.55859,0.90100,0.68963,0.59450
model_1209,0.80214,0.82150,0.63579,0.77036,0.79300,0.85000,0.9687011657073537,0.82150,0.84093,0.79300,0.81626,0.82150
model_1293,0.80214,0.75800,0.50622,0.68791,0.82300,0.69300,nan,0.75800,0.72832,0.82300,0.77277,0.75800
model_1401,0.80197,0.81250,0.61743,0.75703,0.79700,0.82800,0.8674194045216269,0.81250,0.82250,0.79700,0.80955,0.81250
model_1447,0.80178,0.82250,0.63783,0.77201,0.79200,0.85300,0.9669237273237693,0.82250,0.84345,0.79200,0.81692,0.82250
model_1113,0.80152,0.66700,0.32055,0.60348,0.86500,0.46900,nan,0.66700,0.61963,0.86500,0.72204,0.66700
model_401,0.80150,0.77500,0.54091,0.70765,0.81400,0.73600,0.8710866750582404,0.77500,0.75510,0.81400,0.78345,0.77500
model_1057,0.80148,0.80250,0.59702,0.74303,0.80100,0.80400,0.8684764312194274,0.80250,0.80341,0.80100,0.80220,0.80250
model_1711,0.80130,0.77650,0.54397,0.70950,0.81300,0.74000,nan,0.77650,0.75769,0.81300,0.78437,0.77650
model_1649,0.80119,0.84400,0.68170,0.80740,0.78100,0.90700,0.8734899746484993,0.84400,0.89359,0.78100,0.83351,0.84400
model_1395,0.80118,0.77400,0.53887,0.70651,0.81400,0.73400,0.8747015309621052,0.77400,0.75370,0.81400,0.78269,0.77400
model_1605,0.80111,0.72500,0.43889,0.65386,0.83700,0.61300,0.8224638752315355,0.72500,0.68382,0.83700,0.75270,0.72500
model_1445,0.80105,0.82450,0.64191,0.77535,0.79000,0.85900,0.9652605717545314,0.82450,0.84855,0.79000,0.81823,0.82450
model_481,0.80094,0.83050,0.65415,0.78489,0.78700,0.87400,0.969735545160873,0.83050,0.86199,0.78700,0.82279,0.83050
model_1655,0.80069,0.82550,0.64395,0.77704,0.78900,0.86200,nan,0.82550,0.85113,0.78900,0.81889,0.82550
model_655,0.80051,0.48950,-0.04162,0.49481,0.94700,0.03200,nan,0.48950,0.49452,0.94700,0.64974,0.48950
model_1521,0.80017,0.50950,-0.00082,0.50480,0.93700,0.08200,0.8222550377249718,0.50950,0.50512,0.93700,0.65639,0.50950
model_43,0.80014,0.60500,0.19404,0.55950,0.89200,0.31800,0.8258481636279966,0.60500,0.56671,0.89200,0.69308,0.60500
model_911,0.79924,0.80400,0.60008,0.74573,0.79700,0.81100,0.9788594733009923,0.80400,0.80832,0.79700,0.80262,0.80400
model_477,0.79896,0.79250,0.57662,0.73021,0.80200,0.78300,nan,0.79250,0.78705,0.80200,0.79445,0.79250
model_1225,0.79896,0.60300,0.18996,0.55823,0.89100,0.31500,nan,0.60300,0.56536,0.89100,0.69177,0.60300
model_1095,0.79884,0.79850,0.58886,0.73826,0.79900,0.79800,0.8078909030667057,0.79850,0.79820,0.79900,0.79860,0.79850
model_1263,0.79874,0.81950,0.63171,0.76846,0.78900,0.85000,0.9665176107675066,0.81950,0.84026,0.78900,0.81382,0.81950
model_1623,0.79872,0.80450,0.60110,0.74657,0.79600,0.81300,0.9802359936472315,0.80450,0.80977,0.79600,0.80282,0.80450
model_939,0.79865,0.52950,0.03999,0.51524,0.92500,0.13400,0.8401890647243446,0.52950,0.51647,0.92500,0.66284,0.52950
model_1451,0.79846,0.81650,0.62559,0.76403,0.79000,0.84300,0.9725033771050604,0.81650,0.83421,0.79000,0.81150,0.81650
model_1267,0.79822,0.82000,0.63273,0.76940,0.78800,0.85200,0.9697522296795825,0.82000,0.84188,0.78800,0.81405,0.82000
model_537,0.79811,0.66400,0.31443,0.60129,0.86100,0.46700,nan,0.66400,0.61765,0.86100,0.71930,0.66400
