model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
1014,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
714,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
1556,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
28,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
1606,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
110,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1590,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
1580,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
688,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
4,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
994,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
1614,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
1620,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
36,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
668,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
1530,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
724,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
960,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
1730,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1030,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
1150,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,20
112,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
450,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,20
86,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1544,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
666,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
1686,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
614,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
1624,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,20
200,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
152,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
712,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
1018,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
1154,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,20
260,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
1684,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
218,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
250,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
1024,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
8,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
884,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
656,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
190,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
978,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
946,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
1720,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
650,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
798,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
1276,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,20
854,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
938,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
198,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
732,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
252,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
658,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
1148,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,20
1146,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,20
462,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,20
1766,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
6,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
1124,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1098,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1454,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,20
824,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
1222,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,20
68,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
920,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
192,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
130,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
1100,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
