model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
1807,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",relu,10
2023,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
1021,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
911,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
2083,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,10
797,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1503,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
963,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
143,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
141,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
1561,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
781,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
2531,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",tanh,10
2707,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",relu,10
907,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
2019,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
2903,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
2571,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",tanh,10
1931,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",tanh,10
929,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
1743,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,10
2901,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
2941,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,10
2947,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,10
1029,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
1023,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
2647,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",swish,10
789,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
2951,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,10
1689,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
1631,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
901,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
799,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
