,0
StdPearsonResidual_1,6
CooksDistance_1,6
XBPredicted_2,438
Leverage_2,438
Residual_2,438
StdPearsonResidual_2,438
CooksDistance_2,438
XBPredicted_3,67
Leverage_3,67
Residual_3,70
StdPearsonResidual_3,70
CooksDistance_3,70
XBPredicted_4,438
Leverage_4,438
Residual_4,438
StdPearsonResidual_4,438
CooksDistance_4,438
ADJ_1,8
SRE_1,8
COO_1,8
LEV_1,5
ZBI_cutoff2_5,438
SRQcutoff01,3
logZBI,455
logSRQ,308
ZBI_cutoff24,0
Q1,0
Q2,0
Q3,0
Q4,0
Q5,0
Q6,0
Q7,0
Q8,0
Q9,0
Q10,0
Q12,0
Q13,0
Q14,0
Q15,0
Q16,0
TOT,0
AVERAGE,1
COG,1
careeduc_rec,154
PACTIVE_REC,12
direct_indirect_new,438
caregiving_status_changed,0
Depression_binary_GMS,0
UPS,11
UPhS_binary,11
UAS,11
UAmS_binary,11
PTYPEEX_binary,86
PMARRY_recoded,12
UPubS,11
UPubS_binary,11
physician_services_type,11
ANYCHRON,14
NUMCHRON,30
NUMCHRON2,0
BMI_binary,14
PBEEFFRQ_rec,11
PPOULFRQ_rec,11
PPORKFRQ_rec,11
PLAMBFRQ_rec,11
PFISHFRQ_rec,11
PFOILFRQ_rec,18
PNUTSFRQ_rec,11
PDAIRFRQ_rec,11
PBEEFFRQ_binary,11
PPOULFRQ_binary,11
PPORKFRQ_binary,11
PLAMBFRQ_binary,11
PFISHFRQ_binary,11
PFOILFRQ_binary,18
PNUTSFRQ_binary,11
PDAIRFRQ_binary,11
PBEEFFRQ_binary2,11
PPOULFRQ_binary2,11
PPORKFRQ_binary2,11
PLAMBFRQ_binary2,11
PFISHFRQ_binary2,11
PFOILFRQ_binary2,18
PNUTSFRQ_binary2,11
PDAIRFRQ_binary2,11
PMEANTFRQ_recom,11
PPOULFRQ_recom,11
PFOILFRQ_recom,11
PNUTSFRQ_recom,11
PDAIRFRQ_recom,11
PFRUIT_recom,18
PVEGSFUP_recom,38
PMEANTFRQ_recom3,11
PPOULFRQ_recom3,11
PFOILFRQ_recom3,11
PNUTSFRQ_recom3,11
PDAIRFRQ_recom3,11
PFRUIT_recom3,18
PVEGSFUP_recom3,38
