model,miter,mbs,mlr,ulr,dh,afn,nu,ifp,weights,sampling_strategy,encoding
model_334,1000,16,0.1,0.1,128,relu,4,0,"100, 1",not minority,mestimator
model_366,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",minority,woe
model_219,1000,16,0.1,0.1,128,relu,4,0,"1, 10",minority,target
model_384,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.5,woe
model_341,1000,16,0.1,0.1,128,relu,4,0,"100, 1",all,james
model_346,1000,16,0.1,0.1,128,relu,4,0,"100, 1",0.5,mestimator
model_195,1000,16,0.1,0.1,128,relu,4,0,"1, 1",all,target
model_266,1000,16,0.1,0.1,128,relu,4,0,"1, 100",all,glmm
model_168,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.5,woe
model_76,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",minority,mestimator
model_191,1000,16,0.1,0.1,128,relu,4,0,"1, 1",not minority,james
model_328,1000,16,0.1,0.1,128,relu,4,0,"100, 1",minority,mestimator
model_101,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",1,james
model_351,1000,16,0.1,0.1,128,relu,4,0,"100, 1",1,target
model_155,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",not minority,james
model_185,1000,16,0.1,0.1,128,relu,4,0,"1, 1",minority,james
model_189,1000,16,0.1,0.1,128,relu,4,0,"1, 1",not minority,target
model_93,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.5,target
model_37,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",minority,catboost
model_387,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",1,target
model_174,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",1,woe
model_339,1000,16,0.1,0.1,128,relu,4,0,"100, 1",all,target
model_153,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",not minority,target
model_325,1000,16,0.1,0.1,128,relu,4,0,"100, 1",minority,catboost
model_152,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",not minority,glmm
model_139,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",0.75,catboost
model_21,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.5,target
model_148,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",minority,mestimator
model_201,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.5,target
model_170,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",1,glmm
model_264,1000,16,0.1,0.1,128,relu,4,0,"1, 100",not minority,woe
model_254,1000,16,0.1,0.1,128,relu,4,0,"1, 100",minority,glmm
model_258,1000,16,0.1,0.1,128,relu,4,0,"1, 100",minority,woe
model_278,1000,16,0.1,0.1,128,relu,4,0,"1, 100",1,glmm
model_150,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",minority,woe
model_375,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",all,target
model_173,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",1,james
model_297,1000,16,0.1,0.1,128,relu,4,0,"10, 1",not minority,target
model_103,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.75,catboost
model_176,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.75,glmm
model_388,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",1,mestimator
model_272,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.5,glmm
model_97,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",1,catboost
model_157,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",all,catboost
model_162,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",all,woe
model_106,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.75,mestimator
model_404,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 10",not minority,glmm
model_343,1000,16,0.1,0.1,128,relu,4,0,"100, 1",0.5,catboost
model_256,1000,16,0.1,0.1,128,relu,4,0,"1, 100",minority,mestimator
model_277,1000,16,0.1,0.1,128,relu,4,0,"1, 100",1,catboost
model_230,1000,16,0.1,0.1,128,relu,4,0,"1, 10",all,glmm
model_145,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",minority,catboost
model_229,1000,16,0.1,0.1,128,relu,4,0,"1, 10",all,catboost
model_11,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",not minority,james
model_253,1000,16,0.1,0.1,128,relu,4,0,"1, 100",minority,catboost
model_267,1000,16,0.1,0.1,128,relu,4,0,"1, 100",all,target
model_159,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",all,target
model_169,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",1,catboost
model_99,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",1,target
model_178,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.75,mestimator
