model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_3816,0.96796,0.94100,0.87962,0.89925,0.98500,0.89700,nan,0.94100,0.90533,0.98500,0.94349,0.94100
model_26108,0.96794,0.97100,0.94083,0.95958,0.96600,0.97600,0.9704689386840368,0.97100,0.97576,0.96600,0.97085,0.97100
model_30306,0.96794,0.97100,0.94083,0.95958,0.96600,0.97600,0.9802191459494648,0.97100,0.97576,0.96600,0.97085,0.97100
model_23384,0.96793,0.96150,0.92144,0.93935,0.97200,0.95100,0.8418066235871091,0.96150,0.95201,0.97200,0.96190,0.96150
model_29902,0.96790,0.97250,0.94389,0.96291,0.96500,0.98000,nan,0.97250,0.97970,0.96500,0.97229,0.97250
model_8010,0.96787,0.94550,0.88880,0.90772,0.98200,0.90900,nan,0.94550,0.91519,0.98200,0.94742,0.94550
model_7102,0.96781,0.96750,0.93369,0.95209,0.96800,0.96700,nan,0.96750,0.96703,0.96800,0.96752,0.96750
model_37762,0.96777,0.95950,0.91736,0.93534,0.97300,0.94600,0.8793944088045997,0.95950,0.94742,0.97300,0.96004,0.95950
model_26884,0.96777,0.96900,0.93675,0.95534,0.96700,0.97100,nan,0.96900,0.97088,0.96700,0.96894,0.96900
model_30310,0.96774,0.97050,0.93981,0.95863,0.96600,0.97500,0.9794751517754748,0.97050,0.97477,0.96600,0.97037,0.97050
model_26106,0.96774,0.97050,0.93981,0.95863,0.96600,0.97500,0.9704241952843429,0.97050,0.97477,0.96600,0.97037,0.97050
model_26706,0.96771,0.97200,0.94287,0.96195,0.96500,0.97900,0.9743164857358032,0.97200,0.97870,0.96500,0.97180,0.97200
model_31282,0.96765,0.95600,0.91022,0.92832,0.97500,0.93700,0.8228007640157428,0.95600,0.93931,0.97500,0.95682,0.95600
model_32694,0.96765,0.96550,0.92961,0.94793,0.96900,0.96200,0.826014915238256,0.96550,0.96226,0.96900,0.96562,0.96550
model_26926,0.96761,0.96700,0.93267,0.95115,0.96800,0.96600,nan,0.96700,0.96607,0.96800,0.96703,0.96700
model_29624,0.96761,0.96700,0.93267,0.95115,0.96800,0.96600,nan,0.96700,0.96607,0.96800,0.96703,0.96700
model_39772,0.96761,0.96700,0.93267,0.95115,0.96800,0.96600,0.9007837144140451,0.96700,0.96607,0.96800,0.96703,0.96700
model_8018,0.96761,0.96700,0.93267,0.95115,0.96800,0.96600,nan,0.96700,0.96607,0.96800,0.96703,0.96700
model_6906,0.96758,0.96850,0.93573,0.95440,0.96700,0.97000,0.9838143151515917,0.96850,0.96991,0.96700,0.96845,0.96850
model_27610,0.96755,0.97000,0.93879,0.95768,0.96600,0.97400,0.976516178514384,0.97000,0.97379,0.96600,0.96988,0.97000
model_29710,0.96755,0.97000,0.93879,0.95768,0.96600,0.97400,0.9742493122209179,0.97000,0.97379,0.96600,0.96988,0.97000
model_14634,0.96752,0.96200,0.92246,0.94067,0.97100,0.95300,nan,0.96200,0.95383,0.97100,0.96234,0.96200
model_26064,0.96748,0.96350,0.92553,0.94383,0.97000,0.95700,0.8824006658148121,0.96350,0.95755,0.97000,0.96374,0.96350
model_19732,0.96745,0.96500,0.92859,0.94701,0.96900,0.96100,nan,0.96500,0.96131,0.96900,0.96514,0.96500
model_35392,0.96745,0.95550,0.90920,0.92744,0.97500,0.93600,0.8351893601756469,0.95550,0.93840,0.97500,0.95635,0.95550
model_28688,0.96739,0.96800,0.93471,0.95346,0.96700,0.96900,nan,0.96800,0.96894,0.96700,0.96797,0.96800
model_11676,0.96739,0.95850,0.91532,0.93355,0.97300,0.94400,0.8306049565216164,0.95850,0.94558,0.97300,0.95909,0.95850
model_13420,0.96739,0.96800,0.93471,0.95346,0.96700,0.96900,nan,0.96800,0.96894,0.96700,0.96797,0.96800
model_21566,0.96739,0.95850,0.91532,0.93355,0.97300,0.94400,nan,0.95850,0.94558,0.97300,0.95909,0.95850
model_26026,0.96735,0.96950,0.93777,0.95673,0.96600,0.97300,nan,0.96950,0.97281,0.96600,0.96939,0.96950
model_10738,0.96724,0.92800,0.85309,0.87640,0.99200,0.86400,nan,0.92800,0.87943,0.99200,0.93233,0.92800
model_6498,0.96723,0.96600,0.93063,0.94929,0.96800,0.96400,nan,0.96600,0.96414,0.96800,0.96607,0.96600
model_6952,0.96720,0.94850,0.89492,0.91384,0.97900,0.91800,0.9241238752869317,0.94850,0.92271,0.97900,0.95002,0.94850
model_11644,0.96719,0.96750,0.93369,0.95253,0.96700,0.96800,0.9959671665911515,0.96750,0.96797,0.96700,0.96748,0.96750
model_29596,0.96719,0.96750,0.93369,0.95253,0.96700,0.96800,nan,0.96750,0.96797,0.96700,0.96748,0.96750
model_39820,0.96716,0.96900,0.93675,0.95579,0.96600,0.97200,nan,0.96900,0.97183,0.96600,0.96891,0.96900
model_27010,0.96716,0.96900,0.93675,0.95579,0.96600,0.97200,0.973123832286101,0.96900,0.97183,0.96600,0.96891,0.96900
model_21490,0.96716,0.96900,0.93675,0.95579,0.96600,0.97200,0.9855522936468057,0.96900,0.97183,0.96600,0.96891,0.96900
model_30546,0.96713,0.97050,0.93981,0.95908,0.96500,0.97600,0.9844362922213739,0.97050,0.97573,0.96500,0.97034,0.97050
model_23334,0.96713,0.96100,0.92042,0.93885,0.97100,0.95100,nan,0.96100,0.95196,0.97100,0.96139,0.96100
model_26204,0.96713,0.96100,0.92042,0.93885,0.97100,0.95100,0.8127367845897017,0.96100,0.95196,0.97100,0.96139,0.96100
model_28696,0.96707,0.96400,0.92655,0.94516,0.96900,0.95900,nan,0.96400,0.95941,0.96900,0.96418,0.96400
model_23424,0.96704,0.95600,0.91022,0.92871,0.97400,0.93800,0.8943799943414353,0.95600,0.94015,0.97400,0.95678,0.95600
model_27202,0.96703,0.96550,0.92961,0.94836,0.96800,0.96300,nan,0.96550,0.96318,0.96800,0.96559,0.96550
model_31412,0.96703,0.96550,0.92961,0.94836,0.96800,0.96300,nan,0.96550,0.96318,0.96800,0.96559,0.96550
model_26894,0.96700,0.96700,0.93267,0.95159,0.96700,0.96700,nan,0.96700,0.96700,0.96700,0.96700,0.96700
model_25384,0.96700,0.96700,0.93267,0.95159,0.96700,0.96700,nan,0.96700,0.96700,0.96700,0.96700,0.96700
model_36784,0.96700,0.96700,0.93267,0.95159,0.96700,0.96700,0.9684223022552267,0.96700,0.96700,0.96700,0.96700,0.96700
model_29056,0.96700,0.95750,0.91328,0.93176,0.97300,0.94200,0.8694383655151311,0.95750,0.94374,0.97300,0.95815,0.95750
model_15454,0.96700,0.96700,0.93267,0.95159,0.96700,0.96700,0.8447237751700661,0.96700,0.96700,0.96700,0.96700,0.96700
model_16432,0.96700,0.96700,0.93267,0.95159,0.96700,0.96700,nan,0.96700,0.96700,0.96700,0.96700,0.96700
model_37004,0.96698,0.94000,0.87758,0.89794,0.98400,0.89600,0.8593323383087548,0.94000,0.90441,0.98400,0.94253,0.94000
model_6904,0.96697,0.96850,0.93573,0.95485,0.96600,0.97100,0.9857132937173424,0.96850,0.97085,0.96600,0.96842,0.96850
